AirportName,reason,cancelcount
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,122
"Portland, OR: Portland International",Weather,6
"Greenville, NC: Pitt Greenville",Weather,2
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Weather,10
"Philadelphia, PA: Philadelphia International",Weather,113
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,71
"Peoria, IL: General Downing - Peoria International","National Air System",2
"Peoria, IL: General Downing - Peoria International",Carrier,2
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",Weather,2
"Pittsburgh, PA: Pittsburgh International",Weather,30
"Pensacola, FL: Pensacola International",Weather,7
"Pasco/Kennewick/Richland, WA: Tri Cities","National Air System",4
"Ponce, PR: Mercedita",Weather,2
"Portsmouth, NH: Portsmouth International at Pease",Weather,1
"Palm Springs, CA: Palm Springs International","National Air System",6
"Providence, RI: Theodore Francis Green State",Weather,20
"Portland, ME: Portland International Jetport","National Air System",7
"Rapid City, SD: Rapid City Regional",Carrier,3
"Redding, CA: Redding Municipal","National Air System",7
"Bend/Redmond, OR: Roberts Field","National Air System",10
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,44
"Richmond, VA: Richmond International",Weather,17
"Reno, NV: Reno/Tahoe International",Weather,10
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,2
"Rochester, NY: Greater Rochester International","National Air System",7
"Rochester, MN: Rochester International",Weather,3
"Rochester, MN: Rochester International","National Air System",3
"Fort Myers, FL: Southwest Florida International",Weather,5
"San Diego, CA: San Diego International","National Air System",35
"San Antonio, TX: San Antonio International",Weather,21
"Savannah, GA: Savannah/Hilton Head International",Weather,81
"Santa Barbara, CA: Santa Barbara Municipal","National Air System",12
"South Bend, IN: South Bend International",Weather,5
"San Luis Obispo, CA: San Luis County Regional","National Air System",10
"Deadhorse, AK: Deadhorse Airport",Weather,1
"Louisville, KY: Louisville Muhammad Ali International",Weather,18
"Seattle, WA: Seattle/Tacoma International",Carrier,28
"Sanford, FL: Orlando Sanford International",Weather,41
"San Francisco, CA: San Francisco International","National Air System",343
"Springfield, MO: Springfield-Branson National",Weather,5
"Springfield, MO: Springfield-Branson National","National Air System",5
"Shreveport, LA: Shreveport Regional",Weather,8
"Sitka, AK: Sitka Rocky Gutierrez",Weather,1
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,26
"San Angelo, TX: San Angelo Regional/Mathis Field","National Air System",1
"San Juan, PR: Luis Munoz Marin International",Weather,52
"Salt Lake City, UT: Salt Lake City International",Weather,20
"Salina, KS: Salina Regional",Weather,1
"Sacramento, CA: Sacramento International",Carrier,19
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,14
"Springfield, IL: Abraham Lincoln Capital",Weather,3
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal","National Air System",1
"Sarasota/Bradenton, FL: Sarasota/Bradenton International","National Air System",1
"St. Louis, MO: St Louis Lambert International",Weather,31
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,2
"Charlotte Amalie, VI: Cyril E King",Weather,5
"Christiansted, VI: Henry E. Rohlsen",Weather,2
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field","National Air System",2
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,4
"Stillwater, OK: Stillwater Regional",Weather,1
"Syracuse, NY: Syracuse Hancock International",Weather,8
"Tallahassee, FL: Tallahassee International",Weather,3
"Toledo, OH: Toledo Express","National Air System",4
"Tampa, FL: Tampa International",Weather,27
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,1
"Trenton, NJ: Trenton Mercer",Weather,6
"Tulsa, OK: Tulsa International",Weather,8
"Tucson, AZ: Tucson International","National Air System",13
"Traverse City, MI: Cherry Capital","National Air System",6
"Tyler, TX: Tyler Pounds Regional","National Air System",1
"Knoxville, TN: McGhee Tyson",Weather,11
"Quincy, IL: Quincy Regional-Baldwin Field",Weather,2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,3
"Fayetteville, AR: Northwest Arkansas Regional",Weather,16
"Yuma, AZ: Yuma MCAS/Yuma International",Carrier,1
"Yuma, AZ: Yuma MCAS/Yuma International",Weather,1
