Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,MyUnknownColumn
2019,3,9,3,2,2019-09-03,DL,19790,DL,N371NB,2358,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,12953,1295304,31703,LGA,"New York, NY",NY,36,"New York",22,1225,,0,0,0,0,1200-1259,0,,,0,1513,,0,0,0,0,1500-1559,1,B,0,168,0,0,1,1035,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N361DN,2380,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,0700,,0,0,0,0,0700-0759,0,,,0,0957,,0,0,0,0,0900-0959,1,B,0,177,0,0,1,1121,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N907DE,2387,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33,0929,,0,0,0,0,0900-0959,0,,,0,1044,,0,0,0,0,1000-1059,1,B,0,75,0,0,1,366,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N907DE,2387,11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1129,,0,0,0,0,1100-1159,0,,,0,1255,,0,0,0,0,1200-1259,1,B,0,86,0,0,1,366,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N820DX,2390,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,0800,,0,0,0,0,0800-0859,0,,,0,0952,,0,0,0,0,0900-0959,1,B,0,112,0,0,1,581,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N820DX,2390,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1050,,0,0,0,0,1000-1059,0,,,0,1240,,0,0,0,0,1200-1259,1,B,0,110,0,0,1,581,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N967DL,2439,11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1734,,0,0,0,0,1700-1759,0,,,0,1905,,0,0,0,0,1900-1959,1,B,0,91,0,0,1,366,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N349NB,2521,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,12953,1295304,31703,LGA,"New York, NY",NY,36,"New York",22,0740,,0,0,0,0,0700-0759,0,,,0,1037,,0,0,0,0,1000-1059,1,B,0,177,0,0,1,1076,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N925DN,2587,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33,2238,,0,0,0,0,2200-2259,0,,,0,2359,,0,0,0,0,2300-2359,1,B,0,81,0,0,1,366,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N303DN,2603,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,2255,,0,0,0,0,2200-2259,0,,,0,0512,,0,0,0,0,0001-0559,1,B,0,257,0,0,1,1931,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N868DN,2620,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1935,,0,0,0,0,1900-1959,0,,,0,2144,,0,0,0,0,2100-2159,1,B,0,309,0,0,1,2218,9,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N687DL,2624,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,1655,,0,0,0,0,1600-1659,0,,,0,1933,,0,0,0,0,1900-1959,1,B,0,278,0,0,1,1931,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N687DL,2624,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,0930,,0,0,0,0,0900-0959,0,,,0,1555,,0,0,0,0,1500-1559,1,B,0,265,0,0,1,1931,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N944AT,2672,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,"North Carolina",36,0914,,0,0,0,0,0900-0959,0,,,0,1100,,0,0,0,0,1100-1159,1,B,0,106,0,0,1,534,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N915DU,2707,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,1457,,0,0,0,0,1400-1459,0,,,0,1646,,0,0,0,0,1600-1659,1,B,0,109,0,0,1,545,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N368NW,2748,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,12953,1295304,31703,LGA,"New York, NY",NY,36,"New York",22,0904,,0,0,0,0,0900-0959,0,,,0,1159,,0,0,0,0,1100-1159,1,B,0,175,0,0,1,1076,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N683DA,2788,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1930,,0,0,0,0,1900-1959,0,,,0,2102,,0,0,0,0,2100-2159,1,B,0,92,0,0,1,404,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N659DL,2813,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0705,,0,0,0,0,0700-0759,0,,,0,0842,,0,0,0,0,0800-0859,1,B,0,97,0,0,1,404,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N384DN,2822,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,12478,1247805,31703,JFK,"New York, NY",NY,36,"New York",22,1156,,0,0,0,0,1100-1159,0,,,0,1435,,0,0,0,0,1400-1459,1,B,0,159,0,0,1,944,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N318NB,2852,12953,1295304,31703,LGA,"New York, NY",NY,36,"New York",22,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,1559,,0,0,0,0,1500-1559,0,,,0,1901,,0,0,0,0,1900-1959,1,B,0,182,0,0,1,1035,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N855DN,2878,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,1759,,0,0,0,0,1700-1759,0,,,0,1952,,0,0,0,0,1900-1959,1,B,0,113,0,0,1,545,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N595NW,2880,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1524,,0,0,0,0,1500-1559,0,,,0,1758,,0,0,0,0,1700-1759,1,B,0,154,0,0,1,957,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,DL,19790,DL,N595NW,2880,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1909,,0,0,0,0,1900-1959,0,,,0,2140,,0,0,0,0,2100-2159,1,B,0,151,0,0,1,957,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
